,concept_from_alex_street,alternative_phrase,phrase_code
2353,international advisory group,inter-national advisory group,5
2354,international air navigation commission,inter-national air navigation commission,5
2355,international alliance,inter-national alliance,5
2356,international bodies,inter-national bodies,5
2357,international brotherhood,inter-national brotherhood,5
2358,international bureau,inter-national bureau,5
2359,international campaign,inter-national campaign,5
2360,international chamber,inter-national chamber,5
2361,international conventions,inter-national conventions,5
2362,international dental health foundation,inter-national dental health foundation,5
2363,international fellowship,inter-national fellowship,5
2364,international feminism,inter-national feminism,5
2365,international feminist committee,inter-national feminist committee,5
2366,international feminist union,inter-national feminist union,5
2367,international feminists,inter-national feminists,5
2368,international guild,inter-national guild,5
2369,international house,inter-national house,2
2370,international justice,inter-national justice,5
2371,international labor conference,inter-national labor conference,5
2372,international labor office,inter-national labor office,5
2373,international labor organization,inter-national labor organization,5
2374,international labor review,inter-national labor review,5
2375,international labour office,inter-national labour office,5
2376,international life,inter-national life,5
2377,international mission,inter-national mission,5
2378,international parliament,inter-national parliament,5
2379,international position,inter-national position,5
2380,international relations committee,inter-national relations committee,5
2381,international relations program,inter-national relations program,5
2382,international secretaries,inter-national secretaries,2
2383,international secretaries conference,inter-national secretaries conference,5
2384,international secretary,inter-national secretary,2
2385,international suffrage alliance,inter-national suffrage alliance,5
2386,international traffic,inter-national traffic,4
2387,international treaty,inter-national treaty,5
2388,international woman suffrage news,inter-national woman suffrage news,2
2389,interparliamentary union,inter-parliamentary union,2
2390,interracial commission,inter-racial commission,5
2391,interracial committees,inter-racial committees,5
2392,interracial cooperation,interracial co-operation,5
2393,interracial relations,inter-racial relations,5
2394,interstate agreement,inter-state agreement,5
2395,interstate commerce commission,inter-state commerce commission,5
2396,interstate commission,inter-state commission,5
2397,interstate compact,inter-state compact,5
2398,interstate compacts,inter-state compacts,5
2399,intimate acquaintance,,5
2400,intimate contact,,5
2401,intolerable tyranny,,4
2402,intoxicating liquors,,4
2403,inventory plus hours,,5
2404,investigate whether,,5
2405,investigation grant,,5
2406,investigational machinery,,4
2407,investment banking business,,4
2408,investment business,,5
2409,iowa federation,,2
2410,irish woman,,3
2411,italian women,,3
2412,italy today,italy to-day,2
2413,itinerant ministry,,5
2414,j sheldon cartwright secretary,,1
2415,j walsh washington,,1
2416,jackson college,,6
2417,jacob wassermann,,1
2418,jail board,,5
2419,jailed,,5
2420,jane norman smith,,1
2421,janet hills,,1
2422,janie porter barrett,,1
2423,janitresses,,3
2424,japanese men,,3
2425,japanese women,,3
2426,jaw condition,,4
2427,jefferson chest clinic,,6
2428,jefferson chest hospital,,6
2429,jeffersonian principle,jeffer-sonian principle,5
2430,jeffersons opinion,,5
2431,jesuit church,,6
2432,jewelry industry,,4
2433,jewish womens movement,,5
2434,jim crow car,,4
2435,jim crow christianity,,4
2436,jimmy boy,,4
2437,jobholding,,4
2438,jobless married men,,3
2439,john brown song,,5
2440,john graham brooks,,1
2441,john v degrasse,,1
2442,johns hopkins medical school,,6
2443,joiner bill,,5
2444,joining labor unions,,5
2445,joint act,,5
2446,joint action,,5
2447,joint authority,,5
2448,joint demonstration,,5
2449,joint industrial relations board,,5
2450,joint label,,5
2451,joint nationality committee,,5
2452,joint property,,5
2453,joint resolution,,5
2454,joint standing committee,,2
2455,jones bill,,5
2456,jonesbroughton bill,jones-broughton bill,5
2457,josephine goldmark,,1
2458,journalism,,5
2459,journalistic work,,5
2460,journalists council,,5
2461,judge florence allen,,4
2462,judge genevieve r cline,,4
2463,judge hammond,,4
2464,judge terrell,,4
2465,judicial opinion,,5
2466,judiciary lawyer,,2
2467,julius kaiser company,,4
2468,junior clubs,,5
2469,junior college work,,5
2470,junior education,,5
2471,junior employes,,4
2472,junior federation,,2
2473,junior girls,,3
2474,juridical study,,5
2475,juries,,4
2476,jurisdictional strikes,,5
2477,jury,,4
2478,jury bill,,5
2479,jury box,,5
2480,jury commissioners,,5
2481,jury composed,,99
2482,jury duty,,5
2483,jury law,,5
2484,jury lists,,5
2485,jury service,,5
2486,jury service bill,,5
2487,jury system,,5
2488,jurymen,,4
2489,jus sanguinis,,5
2490,justice brewer,,4
2491,juvenile court,,5
2492,kansas association,,2
2493,kansas city association,,2
2494,kansas city branch,,2
2495,kansas city council,,2
2496,kaw indians,,3
2497,keep educated women,,5
2498,keep informed,,5
2499,kellogg pact,,5
2500,kellogg peace treaty,,5
2501,kentucky club woman,,4
2502,kentucky consumers league,,1
2503,kentucky federation,,2
2504,kentucky league,,2
2505,kentucky legislature,,2
2506,kindergarten club,,1
2507,kirklandjenks bill,kirkland-jenks bill,5
2508,kitchenette,,5
2509,klan,,4
2510,knitted garments,,4
2511,knitting machines,,4
2512,kuklux klans,ku-klux klans,4
2513,la femme socialiste,,1
2514,la follette bill,,5
2515,la follette committee,,2
2516,la follette ticket,,5
2517,la revue de la femme,,2
2518,label committee,,5
2519,label covers,,5
2520,label means,,5
2521,label work,,5
2522,labeled goods,,5
2523,labelled goods,,5
2524,labor bill,,5
2525,labor bureau,,5
2526,labor chief,,2
2527,labor commission,,5
2528,labor commissioner,,2
2529,labor committee,,5
2530,labor conditions,,5
2531,labor councils,,5
2532,labor department,,2
2533,labor departments,,4
2534,labor inspector,,5
2535,labor law,,5
2536,labor laws,,5
2537,labor legislation,,5
2538,labor movement,,5
2539,labor news,,2
2540,labor office,,5
2541,labor organisation,,5
2542,labor organizations,,2
2543,labor policies,,5
2544,labor price,,4
2545,labor problems,,4
2546,labor provisions,,5
2547,labor question,,5
2548,labor representation,,5
2549,labor review,,2
2550,labor standards,,5
2551,labor standards committee,,5
2552,labor standards conference,,5
2553,labor temple forum,,5
2554,labor unionism among negroes,,4
2555,labor unions,,5
2556,labor women,,3
2557,laboratory work,,4
2558,laboring men,,4
2559,lace industry,,4
2560,ladies cabin,,5
2561,ladies home journal,,4
2562,ladies organizations,,5
2563,lady mayoress,,5
2564,lady passfield,,1
2565,lady principal,,5
2566,lady waitresses,,3
2567,ladylike,lady-like,4
2568,land planes,,5
2569,landed property,,5
2570,larger percentage,,5
2571,last drink,,5
2572,lasting peace,,5
2573,late frederick douglass,,1
2574,latinamerican countries,latin-american countries,4
2575,laundry agencies,,4
2576,laundry departments,,4
2577,laundry industry,,4
2578,laundry occupations,,4
2579,laundry owners,,4
2580,laundry work,,4
2581,laundry workers,,4
2582,laura berrien,,1
2583,laura spelman fund,,5
2584,lavinia egan,,1
2585,law discriminating,,5
2586,law guaranteed,,5
2587,law makers,,4
2588,law preventing,,5
2589,law prohibiting,,5
2590,law requiring,,5
2591,lawabiding citizens,law-abiding citizens,4
2592,lawbreaker,,4
2593,laws affecting women,,4
2594,laws apply equally,,5
2595,laws guaranteed,,5
2596,laws limiting womens hours,,5
2597,laws relating,,5
2598,laying bricks,,4
2599,lead fumes,,4
2600,lead paint,,4
2601,lead poisoning,,4
2602,leading business woman,,5
2603,leading candy manufacturers,,4
2604,leading cause,,5
2605,leading negroes,,3
2606,league assembly,,5
2607,league committee,,2
2608,league officials,,2
2609,league secretariat,,2
2610,leagues committee,,2
2611,learned men,,3
2612,leather industries,,4
2613,lecture platform,,5
2614,lecture tour,,5
2615,leg muscles,,4
2616,legal age,,5
2617,legal department,,5
2618,legal dependence,,4
2619,legal disabilities,,4
2620,legal discriminations,,4
2621,legal domicile,,5
2622,legal equality,,5
2623,legal incapacities,,5
2624,legal inferiority,,4
2625,legal minimum wage,,5
2626,legal penalties,,5
2627,legal position,,5
2628,legal privileges,,5
2629,legal recognition,,5
2630,legal regulation,,5
2631,legal research,,5
2632,legal research committee,,5
2633,legal residence,,4
2634,legal restrictions,,5
2635,legal subjection,,4
2636,legal work,,5
2637,legally constituted male voters,,3
2638,legally entitled,,5
2639,legion feminina procultura,legion feminina pro-cultura,2
2640,legion feminista,legion femin-ista,1
2641,legislate,,5
2642,legislation limiting hours,,5
2643,legislative,,5
2644,legislative action,,5
2645,legislative campaign,,5
2646,legislative campaigns,,5
2647,legislative chairman,legislative chair-man,2
2648,legislative chairmen,,2
2649,legislative committee,,2
2650,legislative department,,2
2651,legislative efforts,,5
2652,legislative leaders,,2
2653,legislative league,,1
2654,legislative measures,,5
2655,legislative program,,5
2656,legislative secretary,,2
2657,legislative work,,5
2658,legislative year,,5
2659,legitimate child,,4
2660,legitimate exercise,,5
2661,leila enders,,1
2662,leisure class,,4
2663,leisured woman,,4
2664,leisured women,,4
2665,lena madesin phillips,,1
2666,less fortunate,,4
2667,less fortunate children,,4
2668,less money,,4
2669,less pay,,4
2670,less privileged,,5
2671,less wages,,4
2672,liaison committee,,2
2673,liberal education,,5
2674,liberal party,,1
2675,liberty loan,,5
2676,library boards members,,2
2677,licensed house,,5
2678,licensed houses,,5
2679,life liberty,,5
2680,life limb health,,4
2681,lifelong callings,life-long callings,5
2682,liga social sufragista,,1
2683,light producing products,,4
2684,lillian corbett,,1
2685,lillian larsh,,1
2686,lillian sellars,,1
2687,limited franchise,,4
2688,lincoln colored home,,5
2689,lincoln institute,,2
2690,lineal descendants,,5
2691,linebarger chairman,linebarger chair-man,2
2692,linthicum resolution,,5
2693,liquid banks,,4
2694,liquor,,4
2695,liquor traffic,,4
2696,literacy,,4
2697,literacy test,,5
2698,literary institution,,5
2699,literary merit,,5
2700,literature club,,5
2701,literature committee,,5
2702,literature department,,5
2703,little children,,3
2704,little ones,,4
2705,little slave girl,,4
2706,live harmoniously,,5
2707,lived alone,,4
2708,living god,,5
2709,living nobly,,5
2710,living wage,,5
2711,living wage section,,5
2712,livings outside,,5
2713,lizzie kell,,1
2714,loan shops,,4
2715,lobby campaign,,5
2716,lobby committee,,5
2717,lobbying campaign,,5
2718,local associations,,2
2719,local child labor committees,,5
2720,local committees,,2
2721,local community program,,5
2722,local consumers leagues,,5
2723,local governing body,,4
2724,local landlord,,4
2725,local league,,2
2726,local leagues,,2
2727,local merchant,,3
2728,local merchants,,3
2729,local missionary societies,,5
2730,local officers,,2
2731,local power company,,4
2732,local pride,,5
2733,local problems,,4
2734,local union,,2
2735,locust street social settlement,,1
2736,lodgers tended,,5
2737,lofloten skeries,,1
2738,lofty aims,,5
2739,lofty principles,,5
2740,logical consequences,,5
2741,logrolling,log-rolling,4
2742,lombard company,,4
2743,london branch,,2
2744,london hospitals,,4
2745,long island railroad,long island rail-road,4
2746,long suffered,,4
2747,longer hours,,5
2748,longer operating hours,,5
2749,longoppressed people,long-oppressed people,4
2750,longshoremen,,4
2751,lords prayer,,5
2752,los angeles board,,2
2753,los angeles branch,,2
2754,los angeles organizer,,2
2755,lost american citizenship,,4
2756,louisiana branch,,5
2757,louisiana purchase exposition,,2
2758,louisville conference,,2
2759,loveless marriage,,4
2760,low scale,,4
2761,low wage,,4
2762,low wages,,4
2763,lower chamber,,2
2764,lower grades,,4
2765,lower income groups,,3
2766,lower standard,,4
2767,lower standards,,4
2768,lower status,,4
2769,loyal club women,,5
2770,loyal women,,5
2771,lucretia mott amendment,,5
2772,lucy stone civic league,,1
2773,lucy thurman union,,1
2774,lump sums,,5
2775,lunch counters,,5
2776,luncheon meeting,,5
2777,lynch law,,5
2778,lynched,,4
2779,lynchers,,4
2780,lynching record,,4
2781,lynchings,,4
2782,mabel vernon national executive secretary,,2
2783,machine age,,5
2784,machine shops,,4
2785,machines operated,,4
2786,mackinac convention,,5
2787,madam chairman,madam chair-man,2
2788,madam secretary perkins,,1
2789,madame laurent,,1
2790,madame van der veer,,1
2791,made conscious,,5
2792,made wholesale,,4
2793,madras legislative council,,2
2794,magistrates courts,,2
2795,maiden surname,,5
2796,maiden surnames,,5
2797,mailing lists,,5
2798,maine branch,,2
2799,maine legislature,,2
2800,maintaining integrity,,5
2801,maintenance committee,,5
2802,majesty queen victoria,,4
2803,majority members,,5
2804,majority report,,5
2805,make industry poisonfree,make industry poison-free,5
2806,make women eligible,,5
2807,making women eligible,,5
2808,making work safer wholesomer,,5
2809,male competitors,,4
2810,male delinquent,,4
2811,male inhabitants,,3
2812,male intelligence,,5
2813,male issue,,4
2814,male jurors,,4
2815,male jury,,4
2816,male negro domestic workers,,3
2817,male politicians,,4
2818,male prisoners,,3
2819,male relatives,,4
2820,male supremacy,,4
2821,male worker,,3
2822,male workers,,3
2823,malt liquors,,4
2824,man hours,,4
2825,mandatory jury service,,5
2826,mandatory jury service bill,,5
2827,mandatory law,,5
2828,mandatory minimum wage law,,5
2829,manifestly unfair,,5
2830,manmade law,man-made law,5
2831,mann act,,5
2832,mans cause,,5
2833,mans chest,,4
2834,mans job,,4
2835,mans judgment,,4
2836,mans viewpoint,mans view-point,4
2837,mans world,,5
2838,manual dexterity,,4
2839,manual labour,,4
2840,manual tasks,,4
2841,manual work,,4
2842,manual workers,,4
2843,manufacture canneries,,4
2844,manufacturers program,,4
2845,manufacturing establishment,,4
2846,manufacturing establishments,,4
2847,many firsts,,5
2848,margaret whittemore,margaret whitte-more,1
2849,marginal industries,,4
2850,marginal worker,,5
2851,marie jenney howe,,1
2852,marie moore forrest,,1
2853,marion manufacturing company,,4
2854,marital authority,,4
2855,marital condition,,4
2856,marital relation,,4
2857,marital rights,,5
2858,marital status,,5
2859,marital unity,,4
2860,market fund,,5
2861,market price,,5
2862,market process,,5
2863,marriage annulled,,4
2864,marriage ban,,5
2865,marriage bar,,5
2866,marriage contract,,4
2867,marriage law,,5
2868,marriage license,,5
2869,marriage relation,,4
2870,marriage service,,5
2871,marriage vows,,4
2872,married couples,,3
2873,married persons,,3
2874,married persons dismissed,,4
2875,married persons law,,5
2876,married persons whose husbands,,5
2877,married teacher,,4
2878,married teachers,,3
2879,married woman worker,,3
2880,married womans estate,,4
2881,married womans job,,4
2882,married womans right,,5
2883,married women employees,,3
2884,married women government workers,,3
2885,married women teachers,,3
2886,married women teachers association,,1
2887,married women teaching,,3
2888,married women workers,,4
2889,married women working,,4
2890,married womens problem,,4
2891,married womens right,,5
2892,married workers,,3
2893,mary mcleod bethune club,,1
2894,mary ware dennett,,1
2895,maryland branch,,3
2896,maryland federation,,2
2897,maryland free state,,2
2898,maryland general assembly,,2
2899,maryland legislature,,2
2900,maryland senators,,2
2901,maryland state branch,,2
2902,maryland state federation,,2
2903,maryland women,,3
2904,marymount college,,6
2905,masculine gender,,4
2906,masculine pronoun,,5
2907,masculine pronouns,,5
2908,masculine terms include women,,5
2909,masculine woman,,4
2910,mass education,,5
2911,mass meeting,,2
2912,mass purchasing power,,5
2913,massachusetts branch,,2
2914,massachusetts child labor committee,,5
2915,massachusetts consumers league,,1
2916,massachusetts law,,2
2917,massachusetts state committee,,2
2918,massachusetts statute,,5
2919,massachusetts womens republican club,,1
2920,master bakers,,4
2921,masterbuilder,master-builder,4
2922,masters plantation,,4
2923,mastick bill,,5
2924,mastickshonk hourweek bill,mastick-shonk hourweek bill,5
2925,mate,,4
2926,material possessions,,5
2927,material wealth,,5
2928,maternal,,4
2929,maternal deaths,,4
2930,maternal functions,,4
2931,maternal instinct,,5
2932,maternal mortality,,4
2933,maternal phase,,5
2934,maternity,,4
2935,maternity legislation,,5
2936,matrimonial causes bill,,5
2937,matrimonial life,,4
2938,matrimony act,,5
2939,mattie farnham,,1
2940,maud younger congressional chairman,maud younger congressional chair-man,2
2941,maximum hours,,5
2942,maximum hours law,,5
2943,maximum productivity,,5
2944,maximum salaries,,5
2945,mayor jackson,,4
2946,mayor van zandt,,4
2947,mazique family,,1
2948,mechanical establishment,,4
2949,mechanical industries,,4
2950,mechanical pursuits,,4
2951,medical course,,5
2952,medical evangelists,,5
2953,medical examination,,5
2954,medical expenses,,4
2955,medical inspection,,5
2956,medical opportunities,,5
2957,medical women,,3
2958,medieval hindu scholastics,,3
2959,mellow tones,,5
2960,membership campaign,,5
2961,memorial association,,2
2962,memphis conference,,2
2963,men bankers,,4
2964,men competitors,,4
2965,men delegates,,5
2966,men drivers,,3
2967,men earning,,4
2968,men jurists,,4
2969,men jurors,,4
2970,men teachers,,3
2971,men voted,,5
2972,menial occupations,,4
2973,menial service,,4
2974,mens clothing industry,,4
2975,mens colleges,,4
2976,mens labor movement,,5
2977,mens rates,,4
2978,mens work,,4
2979,menstruation,,4
2980,mental alertness,,5
2981,mental discipline,,5
2982,mercantile establishment,,4
2983,mercantile establishments,,4
2984,merit system,,5
2985,mesothorium,,4
2986,messenger service,,5
2987,messrs norvell,,1
2988,mexican delegation,,2
2989,mexican woman,,3
2990,mexican women,,3
2991,michigan board,,2
2992,michigan branch,,2
2993,michigan federation,,2
2994,michigan state association,,2
2995,michigan state branch,,2
2996,michigan state federation,,2
2997,michigan women,,3
2998,middle atlantic conference committee,,2
2999,middleatlantic regional conference,middle-atlantic regional conference,5
3000,middlebury college middlebury vermont,,6
3001,midwestern conference,mid-western conference,2
3002,mighty men,,4
3003,migrant families,,3
3004,migrant group,,4
3005,mildred palmer,,1
3006,mile walk,,5
3007,militant movement,,5
3008,militant suffrage campaign,,5
3009,militant suffrage movement,,5
3010,military duties,,4
3011,military hygiene,,4
3012,milk supply,,5
3013,milkfarm,milk-farm,4
3014,mill executives,,4
3015,mill factory,,4
3016,mill towns,,4
3017,millicent clarke,,1
3018,millinery establishment,,4
3019,million signatures,,5
3020,milwaukee branch,,2
3021,miner normal school washington,,6
3022,miners asthma,,4
3023,miners wife,,4
3024,minerva reading club,,1
3025,mines prohibiting work,,5
3026,minimum age,,5
3027,minimum established,,5
3028,minimum scale,,5
3029,minimum standards,,5
3030,minimum wage,,5
3031,minimum wage administration,minimum wage ad-ministration--,5
3032,minimum wage bill,,5
3033,minimum wage board,,5
3034,minimum wage boards,,5
3035,minimum wage case,,5
3036,minimum wage commission,,5
3037,minimum wage commissions,,5
3038,minimum wage convention,,5
3039,minimum wage decision,,5
3040,minimum wage division,,5
3041,minimum wage law,,5
3042,minimum wage laws,,5
3043,minimum wage legislation,,5
3044,minimum wage rate,,5
3045,minimum wage regulations,,5
3046,minimum wage rule,,5
3047,minimum wage rulings,,5
3048,minimum wage scale,,5
3049,minimum wage work,,5
3050,minimum wages,,5
3051,minimum wages boards,,5
3052,minimum wages legislation,,5
3053,minimumwage law,minimum-wage law,5
3054,minimumwage legislation,minimum-wage legislation,5
3055,mining towns,,4
3056,minnesota branch,,2
3057,minnesota federation,,2
3058,minnesota legislature,,2
3059,minnesota state branch,,2
3060,minor child,,4
3061,minor children,,3
3062,minorities,,3
3063,minority,,4
3064,minority report,,5
3065,miriam beard,,1
3066,miss alice carpenter,alice carpenter,1
3067,miss balch,,1
3068,miss berrien,,1
3069,miss borroughs,,1
3070,miss bowles,,1
3071,miss brobst,,1
3072,miss burroughs,,1
3073,miss conde,,1
3074,miss derricotte,,1
3075,miss doris stevens,doris stevens,1
3076,miss dunbar,,1
3077,miss eiker,,1
3078,miss elizabeth c carter,elizabeth c carter,1
3079,miss eva bowles,eva bowles,1
3080,miss florence simms,florence simms,1
3081,miss frances perkins secretary,,2
3082,miss gillett,,1
3083,miss goldmark,,1
3084,miss goodell,,1
3085,miss hallie quinn brown,hallie quinn brown,1
3086,miss haslett,,1
3087,miss helen elizabeth brown,helen elizabeth brown,1
3088,miss helen holman,helen holman,1
3089,miss hinchey,,1
3090,miss holloway,,1
3091,miss hudnut,,1
3092,miss imogene howard,imogene howard,1
3093,miss jaynes,,1
3094,miss jeannette carter,jeannette carter,1
3095,miss jessie dell,jessie dell,1
3096,miss jose collins,jose collins,1
3097,miss josephine pinyon,josephine pinyon,1
3098,miss lauder,,1
3099,miss laughlin,,1
3100,miss laura berrien,laura berrien,1
3101,miss lealtad,,1
3102,miss lenore cawker,lenore cawker,1
3103,miss lucretia,,1
3104,miss macconnell,,1
3105,miss magee,,1
3106,miss margaret whittemore,margaret whittemore,1
3107,miss mary e jackson,mary e jackson,1
3108,miss mcbride,,1
3109,miss meta pelham,,1
3110,miss neilans,,1
3111,miss pauline goldmark,pauline goldmark,1
3112,miss pinyon,,1
3113,miss pollitzer,,1
3114,miss rathbone,,1
3115,miss raymenton,,1
3116,miss redick,,1
3117,miss riegel,,1
3118,miss roche,,1
3119,miss ruffin,,1
3120,miss schneiderman,,1
3121,miss strandberg,,1
3122,miss van kleek,,1
3123,miss weisman,,1
3124,miss welles,,1
3125,miss whately,,1
3126,miss whittemore,miss whitte-more,1
3127,miss wiesman,,1
3128,miss woodson,miss wood-son,1
3129,mission herald,,2
3130,mission house,,5
3131,mission study,,5
3132,mission sunday school,,5
3133,missionary societies,,5
3134,mississippi federation,,2
3135,mississippi state college,,6
3136,mississippi state federation,,2
3137,missouri federation,,2
3138,missouri state branch,,2
3139,missouri state federation,,2
3140,missouri women,,3
3141,mistress margaret brent,,1
3142,mitylene lesbos,,5
3143,mixed churches,,5
3144,mixed jury,,5
3145,mme brunhes,,1
3146,mme charaoui,,1
3147,mme kollontai,,1
3148,mme verone,,1
3149,mme yosana,,1
3150,mob,,4
3151,mob left,,99
3152,mob violence,,5
3153,modal period,,4
3154,model housekeeper,model house-keeper,5
3155,moderate suffragists,,5
3156,modern college graduate,,4
3157,modern cow barn,,4
3158,modern egyptian girl,,3
3159,modern home,,5
3160,modern housewife,,5
3161,modern industry,,4
3162,modern medicine,,5
3163,modern spirit,,5
3164,modern theatre,,5
3165,modern woman,,5
3166,modern women,,5
3167,mohammedan women,,3
3168,molders union,,4
3169,monacan club,,1
3170,money earned,,5
3171,money orders,,5
3172,monroe county board,,2
3173,montana branch,,2
3174,montana federation,,2
3175,montana state branch,,2
3176,montana state committee,,2
3177,montevideo conference,,2
3178,montevideo equal nationality treaty,,5
3179,montevideo treaty,,5
3180,monthly reports,,5
3181,moral certainty,,5
3182,moral character,,5
3183,moral development,,5
3184,moral forces,,4
3185,moral government,,5
3186,moral hazard,,5
3187,moral law,,5
3188,moral life,,5
3189,moral protection,,5
3190,moral situation,,5
3191,moral strength,,5
3192,moral training,,5
3193,moral value,,5
3194,moral welfare,,5
3195,moral worth,,5
3196,morehouse college,,6
3197,mortality rate,,4
3198,moslem men,,3
3199,moslem women,,3
3200,moss committee,,5
3201,mother bill,,5
3202,mother equal right,,5
3203,mother equal rights,,5
3204,mother home,,5
3205,mother superior,,5
3206,motherhood,,4
3207,motherless homes,,4
3208,mothers,,3
3209,mothers assistance,,5
3210,mothers engaged,,4
3211,mothers pension laws,,5
3212,mothers pensions,,5
3213,mothers society,,5
3214,motion picture censors,,4
3215,motion picture industry,,4
3216,motor tour,,5
3217,motto equality first,,5
3218,moulding public sentiment,,5
3219,moving picture machine operators,,3
3220,mr boyles bill,,5
3221,mr c c spaulding president,,1
3222,mr elkus,,1
3223,mr j e moorland,j e moorland,1
3224,mr roosevelt,,4
3225,mrs allender,mrs al-lender,1
3226,mrs auld,,1
3227,mrs bertrand russell,bertrand russell,1
3228,mrs blankenhorn,,1
3229,mrs blatch,,1
3230,mrs burnita shelton matthews,burnita shelton matthews,1
3231,mrs burton avery,burton avery,1
3232,mrs calthrop,,1
3233,mrs chlora hayes sledge,chlora hayes sledge,1
3234,mrs connery,,1
3235,mrs costigan,,1
3236,mrs crossan,,1
3237,mrs despard,,1
3238,mrs dornblum,,1
3239,mrs douglass,,1
3240,mrs e p booze,,1
3241,mrs earl e,,1
3242,mrs elizabeth lindsay davis,elizabeth lindsay davis,1
3243,mrs elliottlynn,mrs elliott-lynn,1
3244,mrs eva carterbuckner,mrs eva carter-buckner,1
3245,mrs fannie barrier williams,fenwick miller,1
3246,mrs fenwick miller,,1
3247,mrs foltz,,1
3248,mrs frederick nathan president,,4
3249,mrs garner drove,garner drove,1
3250,mrs greathouse,mrs great-house,1
3251,mrs greenway,,1
3252,mrs grimke,,1
3253,mrs h w washington,h w washington,1
3254,mrs harriman simmons,harriman simmons,1
3255,mrs harvey w wiley,harvey w wiley,1
3256,mrs havens,,1
3257,mrs henry lockwood,henry lockwood,1
3258,mrs hostley,,1
3259,mrs janie porter barrett,janie porter barrett,1
3260,mrs john hope,john hope,1
3261,mrs keyser,,1
3262,mrs kiang,,1
3263,mrs kilgore,,1
3264,mrs knauff,,1
3265,mrs la follette,,1
3266,mrs larsh,,1
3267,mrs layten,,1
3268,mrs linclonia morgan,linclonia morgan,1
3269,mrs locker,,1
3270,mrs lucy thurman,lucy thurman,1
3271,mrs lydia c smith,lydia c smith,1
3272,mrs lydia smith,lydia smith,1
3273,mrs manchester,,1
3274,mrs marconnier,,1
3275,mrs maria holland,mary b talbert,1
3276,mrs mary b talbert,,1
3277,mrs mary church terrell,mary church terrell,1
3278,mrs mary mcleod bethune,mary mcleod bethune,1
3279,mrs mccallum,,1
3280,mrs mcgraw,,1
3281,mrs mossell,,1
3282,mrs movius,,1
3283,mrs osias,,1
3284,mrs pankhurst memorial fund,,5
3285,mrs peixotto,,1
3286,mrs pethicklawrence,mrs pethick-lawrence,1
3287,mrs pipes,,1
3288,mrs plaminkova,,1
3289,mrs pollak,,1
3290,mrs rebecca aldridge,rebecca aldridge,1
3291,mrs ruth williams,ruth williams,1
3292,mrs sallie w stewart,sallie w stewart,1
3293,mrs sarah pell,sarah pell,1
3294,mrs sidney webb,sidney webb,1
3295,mrs stephen h pell,stephen h pell,1
3296,mrs talbert,,1
3297,mrs terrell,,1
3298,mrs thurman,,1
3299,mrs u j wadefoster,mrs u j wade-foster,1
3300,mrs valentine winters,valentine winters,1
3301,mrs wheatley,,1
3302,mrs william kent,william kent,1
3303,mrs wintringhams bill,wintringhams bill,5
3304,muller case,,4
3305,multimillionaires,multi-millionaires,4
3306,multipartite treaties,,5
3307,municipal authorities,,2
3308,municipal civil service commission,,2
3309,municipal court,,2
3310,municipal hospital,,4
3311,municipal office,,5
3312,municipal research,,5
3313,municipal research study,,5
3314,municipal standard,,5
3315,municipal study,,5
3316,municipal suffrage,,5
3317,munition plants,,4
3318,muriel penn,,1
3319,murray chairman,murray chair-man,2
3320,murrell dobbins school,,5
3321,musical ability,,4
3322,musical program,,5
3323,musical world,,4
3324,muslim girls,,3
3325,must earn,,5
3326,must educate,,5
3327,mutual insurance companies,,5
3328,mutual insurance company,,5
3329,mutually associate,,5
3330,naacp,,1
3331,name preparatory high school,,5
3332,napoleonic code,,5
3333,national advertising,,5
3334,national afroamerican council,national afro-american council,5
3335,national agreement,,5
3336,national amendment,,5
3337,national baptist convention,,2
3338,national baptist convention usa inc,,2
3339,national branch,,2
3340,national branches,,2
3341,national broadcasting company,,4
3342,national camp,,4
3343,national chairman,national chair-man,2
3344,national chairmen,,2
3345,national child labor committee,,5
3346,national child life committee,,5
3347,national commemoration,,5
3348,national compliance board,,5
3349,national conscience,,5
3350,national constitution,,5
3351,national consumers league endeavor,,2
3352,national consumers league invites,,2
3353,national consumers league label,,5
3354,national consumers league protests,,5
3355,national costume,,5
3356,national council chairmen,,2
3357,national council state chairmen,,2
3358,national department,,5
3359,national education association,,5
3360,national eetail dry goods association,national retail dry good association,99
3361,national enfranchisement,,5
3362,national equal eights amendment,national equal rights amendment,99
3363,national equal rights amendment,,5
3364,national executive department,,5
3365,national farmerlabor convention,national farmer-labor convention,2
3366,national federation business,,4
3367,national feminist party,,1
3368,national feminist union,,1
3369,national food,,5
3370,national freedom,,5
3371,national freedom day,,5
3372,national freedom day association,,2
3373,national government workers council,,5
3374,national industrial eecovery act,national industrial recovery act,99
3375,national issues,,4
3376,national kindergarten organizer,,2
3377,national legislation,,5
3378,national minimum,,5
3379,national mother home,,5
3380,national negro bankers association,,1
3381,national output,,5
3382,national platforms,,5
3383,national political issue,,4
3384,national political party,,5
3385,national question,,5
3386,national recovery administration,national recovery ad-ministration--,2
3387,national republican convention,,2
3388,national scale,,5
3389,national section,,5
3390,national staff,,2
3391,national statuary hall,,5
3392,national students council,,1
3393,national suffrage amendment,,5
3394,national superintendent,national super-intendent,4
3395,national trade,,5
3396,national training school,,5
3397,national union,,1
3398,national woman party members,,2
3399,national womans council,,5
3400,national womans party delegation,,2
